128,24パーマー大統領,24ぱーまーだいとうりょう,227,271,2019-11-25 05:05:48,2019-11-25 05:05:48,9
129,笑うたけしさん(最近),わらうたけしさん(さいきん),271,298,2019-11-25 05:05:48,2019-11-25 05:05:48,9
130,昔のペヤング ソースやきそばのCM,むかしのぺやんぐそーすやきそばのしーえむ,298,345,2019-11-25 05:05:48,2019-11-25 05:05:48,9
131,世界のヘイポー,せかいのへいぽー,345,363,2019-11-25 05:05:48,2019-11-25 05:05:48,9
132,夙川アトム,しゅくかわあとむ,363,409,2019-11-25 05:05:48,2019-11-25 05:05:48,9
133,PS3の起動音,ぴーえす3のきどうおん,409,447,2019-11-25 05:05:48,2019-11-25 05:05:48,9
134,圭修の高校野球高校紹介の漫才,けいしゅうのこうこうやきゅうこうこうしょうかいのまんざい,447,522,2019-11-25 05:05:48,2019-11-25 05:05:48,9
135,マイクアピールがバカ下手なエル・サムライ,まいくあぴーるがばかへたなえるさむらい,522,552,2019-11-25 05:05:48,2019-11-25 05:05:48,9
136,よく映画に出てくるてんぱった外人,よくえいがにでてくるてんぱったがいじん,552,568,2019-11-25 05:05:48,2019-11-25 05:05:48,9
137,誇張しすぎた北島三郎,こちょうしすぎたきたじまさぶろう,568,612,2019-11-25 05:05:48,2019-11-25 05:05:48,9
138,織田裕二の名シーン,おだゆうじのめいしーん,612,668,2019-11-25 05:05:48,2019-11-25 05:05:48,9
139,古畑にも相棒にも出てるが全くキャラがおんなじな津川雅彦,ふるはたにもあいぼうにもでてるがまったくきゃらがおんなじなつがわまさひこ,668,708,2019-11-25 05:05:48,2019-11-25 05:05:48,9
140,ひと昔前のジャイアント馬場のまねをあえてやる,ひとむかしまえのじゃいあんとばばのまねをあえてやる,708,740,2019-11-25 05:05:48,2019-11-25 05:05:48,9
141,モデルタレント 鈴木奈々のウザイ リアクション,もでるたれんとすずきななのうざいりあくしょん,35,53,2019-11-25 05:05:48,2019-11-25 05:05:48,10
142,カツゼツのいい越中詩郎,かつぜつのいいこしなかしろう,53,97,2019-11-25 05:05:48,2019-11-25 05:05:48,10
143,サンボ浅子の攻撃した時のやられた時のリアクション,さんぼあさこのこうげきしたときのやられたときのりあくしょん,97,140,2019-11-25 05:05:48,2019-11-25 05:05:48,10
144,BIO HAZARDのゾンビのまね,BIOHAぜっとARDのぞんびのまね,140,176,2019-11-25 05:05:48,2019-11-25 05:05:48,10
145,ビッグ・ショーのチョークスラム アピール,びっぐしょーのちょーくすらむあぴーる,176,215,2019-11-25 05:05:48,2019-11-25 05:05:48,10
146,ファミコン ビーバップ ハイスクールのMAP画面の歩き方,ふぁみこんびーばっぷはいすくーるのえむAPがめんのあるきかた,215,236,2019-11-25 05:05:48,2019-11-25 05:05:48,10
147,クイズ ミラクル9の くりーむしちゅー上田,くいずみらくる9のくりーむしちゅーうえだ,236,260,2019-11-25 05:05:48,2019-11-25 05:05:48,10
148,ファミコン 北斗の拳のザコの死ぬところ,ふぁみこんほくとのけんのざこのしぬところ,260,272,2019-11-25 05:05:48,2019-11-25 05:05:48,10
149,エヴァンゲリオン 碇 ゲンドウ,えヴぁんげりおんいかりげんどう,272,307,2019-11-25 05:05:48,2019-11-25 05:05:48,10
150,北斗の拳の悪い奴が出るテーマ曲,ほくとのけんのわるいやつがでるてーまきょく,307,358,2019-11-25 05:05:48,2019-11-25 05:05:48,10
151,やしろ優,やしろゆう,304,359,2019-11-25 05:05:48,2019-11-25 05:05:48,11
152,デヴィ夫人,でヴぃふじん,359,396,2019-11-25 05:05:48,2019-11-25 05:05:48,11
153,みかん,みかん,396,460,2019-11-25 05:05:48,2019-11-25 05:05:48,11
154,やりつくされた柴田恭平のまねをあえてやる,やりつくされたしばたきょうへいのまねをあえてやる,460,532,2019-11-25 05:05:48,2019-11-25 05:05:48,11
155,誇張しすぎた工藤静香,こちょうしすぎたくどうしずか,532,569,2019-11-25 05:05:48,2019-11-25 05:05:48,11
156,女子プロレスラーイーグル沢井,じょしぷろれすらーいーぐるさわい,569,625,2019-11-25 05:05:48,2019-11-25 05:05:48,11
157,やばいサラリーマン,やばいさらりーまん,625,657,2019-11-25 05:05:48,2019-11-25 05:05:48,11
158,恥も外聞もなくクロコーチのまねをあえてやる,はじもがいぶんもなくくろこーちのまねをあえてやる,657,710,2019-11-25 05:05:48,2019-11-25 05:05:48,11
159,小保方さん,おぼかたさん,710,738,2019-11-25 05:05:48,2019-11-25 05:05:48,11
160,北斗の拳ラオウの「あっちゃ～」,ほくとのけんらおうのあっちゃ～,738,767,2019-11-25 05:05:48,2019-11-25 05:05:48,11
161,ロビンマスクのキン肉マンの呼び方,ろびんますくのきんにくまんのよびかた,767,841,2019-11-25 05:05:48,2019-11-25 05:05:48,11
162,麻雀放浪記のマネをしているショウショウ(高品格),まーじゃんほうろうきのまねをしているしょうしょう(たかしなかく),841,901,2019-11-25 05:05:48,2019-11-25 05:05:48,11
163,チョップを耐える阿修羅 原,ちょっぷをたえるあしゅらはら,901,933,2019-11-25 05:05:48,2019-11-25 05:05:48,11
164,誇張しすぎた木村拓哉,こちょうしすぎたきむらたくや,933,987,2019-11-25 05:05:48,2019-11-25 05:05:48,11
165,パキパキの筋肉で気合いれすぎの西島秀俊,ぱきぱきのきんにくできあいいれすぎのにしじまひでとし,987,1028,2019-11-25 05:05:48,2019-11-25 05:05:48,11
166,ファミコン ゲゲゲの鬼太郎の死ぬところ,ふぁみこんげげげのきたろうのしぬところ,1028,1053,2019-11-25 05:05:48,2019-11-25 05:05:48,11
167,ファミコン ミシシッピー殺人事件の死ぬところ,ふぁみこんみししっぴーさつじんじけんのしぬところ,1053,1087,2019-11-25 05:05:48,2019-11-25 05:05:48,11
168,ファミコン ファミリーサーキットの爆発音,ふぁみこんふぁみりーさーきっとのばくはつおん,1087,1108,2019-11-25 05:05:48,2019-11-25 05:05:48,11
169,アントニオ猪木,あんとにおいのき,1108,1141,2019-11-25 05:05:48,2019-11-25 05:05:48,11
170,かむくらの店員,かむくらのてんいん,1141,1164,2019-11-25 05:05:48,2019-11-25 05:05:48,11
171,大阪のアナウンサー 梅田淳,おおさかのあなうんさーうめだじゅん,1164,1187,2019-11-25 05:05:48,2019-11-25 05:05:48,11
172,やりつくされた大和田常務のまねをあえてやる(土下座),やりつくされたおおわだじょうむのまねをあえてやる(どげざ),1187,1212,2019-11-25 05:05:48,2019-11-25 05:05:48,11
173,大和田常務のキレて電話切るところ,おおわだじょうむのきれてでんわきるところ,1212,1237,2019-11-25 05:05:48,2019-11-25 05:05:48,11
174,大和田常務のやれるもんならやってみる,おおわだじょうむのやれるもんならやってみる,1237,1258,2019-11-25 05:05:48,2019-11-25 05:05:48,11
175,ボコられる直前の橋本真也,ぼこられるちょくぜんのはしもとしんや,1258,1330,2019-11-25 05:05:48,2019-11-25 05:05:48,11
176,やりつくされた長渕剛のまねをあえてやる,やりつくされたながぶちつよしのまねをあえてやる,1330,1390,2019-11-25 05:05:48,2019-11-25 05:05:48,11
177,サンチェの投げ方,さんちぇのなげかた,1390,1438,2019-11-25 05:05:48,2019-11-25 05:05:48,11
178,ASKA,ASKA,1438,1465,2019-11-25 05:05:48,2019-11-25 05:05:48,11
