
何回も歌ってるか飽きたのか知らねえけど持ち歌アレンジしすぎな欧陽菲菲,なんかいもうたってるかあきたのかしらねえけどもちうたあれんじしすぎなおーやんふぃーふぃー,93,127,9
出オチのインパクトだけにすべてをかけるダンディ坂野,でおちのいんぱくとだけにすべてをかけるだんでぃさかの,127,163,9
リングの魂に乱入したターザン山本,りんぐのたましいにらんにゅうしたたーざんやまもと,163,198,9
24ローガン大統領の首,24ろーがんだいとうりょうのくび,198,227,9
24パーマー大統領,24ぱーまーだいとうりょう,227,271,9
笑うたけしさん(最近),わらうたけしさん(さいきん),271,298,9
昔のペヤング ソースやきそばのCM,むかしのぺやんぐそーすやきそばのしーえむ,298,345,9
世界のヘイポー,せかいのへいぽー,345,363,9
夙川アトム,しゅくかわあとむ,363,409,9
PS3の起動音,ぴーえす3のきどうおん,409,447,9
圭修の高校野球高校紹介の漫才,けいしゅうのこうこうやきゅうこうこうしょうかいのまんざい,447,522,9
マイクアピールがバカ下手なエル・サムライ,まいくあぴーるがばかへたなえるさむらい,522,552,9
よく映画に出てくるてんぱった外人,よくえいがにでてくるてんぱったがいじん,552,568,9
誇張しすぎた北島三郎,こちょうしすぎたきたじまさぶろう,568,612,9
織田裕二の名シーン,おだゆうじのめいしーん,612,668,9
古畑にも相棒にも出てるが全くキャラがおんなじな津川雅彦,ふるはたにもあいぼうにもでてるがまったくきゃらがおんなじなつがわまさひこ,668,708,9
ひと昔前のジャイアント馬場のまねをあえてやる,ひとむかしまえのじゃいあんとばばのまねをあえてやる,708,740,9
モデルタレント 鈴木奈々のウザイ リアクション,もでるたれんとすずきななのうざいりあくしょん,35,53,10
カツゼツのいい越中詩郎,かつぜつのいいこしなかしろう,53,97,10
サンボ浅子の攻撃した時のやられた時のリアクション,さんぼあさこのこうげきしたときのやられたときのりあくしょん,97,140,10
BIO HAZARDのゾンビのまね,BIOHAぜっとARDのぞんびのまね,140,176,10
ビッグ・ショーのチョークスラム アピール,びっぐしょーのちょーくすらむあぴーる,176,215,10
ファミコン ビーバップ ハイスクールのMAP画面の歩き方,ふぁみこんびーばっぷはいすくーるのえむAPがめんのあるきかた,215,236,10
クイズ ミラクル9の くりーむしちゅー上田,くいずみらくる9のくりーむしちゅーうえだ,236,260,10
ファミコン 北斗の拳のザコの死ぬところ,ふぁみこんほくとのけんのざこのしぬところ,260,272,10
エヴァンゲリオン 碇 ゲンドウ,えヴぁんげりおんいかりげんどう,272,307,10
北斗の拳の悪い奴が出るテーマ曲,ほくとのけんのわるいやつがでるてーまきょく,307,358,10
やしろ優,やしろゆう,304,359,11
デヴィ夫人,でヴぃふじん,359,396,11
みかん,みかん,396,460,11
やりつくされた柴田恭平のまねをあえてやる,やりつくされたしばたきょうへいのまねをあえてやる,460,532,11
誇張しすぎた工藤静香,こちょうしすぎたくどうしずか,532,569,11
女子プロレスラーイーグル沢井,じょしぷろれすらーいーぐるさわい,569,625,11
やばいサラリーマン,やばいさらりーまん,625,657,11
恥も外聞もなくクロコーチのまねをあえてやる,はじもがいぶんもなくくろこーちのまねをあえてやる,657,710,11
小保方さん,おぼかたさん,710,738,11
北斗の拳ラオウの「あっちゃ～」,ほくとのけんらおうのあっちゃ～,738,767,11
ロビンマスクのキン肉マンの呼び方,ろびんますくのきんにくまんのよびかた,767,841,11
麻雀放浪記のマネをしているショウショウ(高品格),まーじゃんほうろうきのまねをしているしょうしょう(たかしなかく),841,901,11
チョップを耐える阿修羅 原,ちょっぷをたえるあしゅらはら,901,933,11
誇張しすぎた木村拓哉,こちょうしすぎたきむらたくや,933,987,11
